,Price,BHK,beds,baths,balcony,covered-parking,Carpet Area,Developer,Project,Floor,Transaction type,Status,Lifts,Address,Furnishing,Flooring,Water Availability,Status of Electricity,Price_Updated,BHK_2
634,27500000,3,3,3,2,nan,1650,,RWA E 2 and F Block Lajpat Nagar 2,1 (Out of 3 Floors),Resale,Ready to Move,0,"E Block, Lajpat Nagar, New Delhi - South, Delhi NCR",Unfurnished,Marble,24 Hours Available,No/Rare Powercut,₹2.75 Cr,3 
635,29500000,3,3,3,2,2,1700,,,3 (Out of 4 Floors),New Property,,0,"jagrati, Anand Vihar, New Delhi - East, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Marble, Marbonite, Mosaic, Normal Tiles/Kotah Stone, Wooden",24 Hours Available,No/Rare Powercut,₹2.95 Cr,3 
636,29000000,3,3,3,2,1,125,,,3 (Out of 4 Floors),New Property,Ready to Move,0,"Janakpuri, New Delhi - West, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut,₹2.90 Cr,3 
637,48300000,3,3,3,3,2,2300,DLF Ltd.,DLF One Midtown,12 (Out of 40 Floors),New Property,,6,"15, Shivaji Marg, House Complex Market, Karampura Industrial Area, Zakhira, New Delhi, Delhi 110015, Moti Nagar, New Delhi - West, Delhi NCR",Furnished,Wooden,24 Hours Available,No/Rare Powercut,₹4.83 Cr,3 
638,9500000,2,2,2,nan,nan,800,Cooperative Group Housing Society,Navkala Apartment,2 (Out of 2 Floors),Resale,Ready to Move,0,"Plot 14 IP Extension New Delhi, Joshi Colony, New Delhi - East, Delhi NCR",Furnished,,,,₹95.0 Lac,2 
639,35000000,2,2,2,3,1,1600,Godrej Properties,Godrej South Estate,12 (Out of 20 Floors),New Property,,3,"Okhla, Okhla, New Delhi - South, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut,₹3.50 Cr,2 
640,25000000,3,3,2,2,nan,1600,Cooperative Group Housing Society,Mount Kailash,1 (Out of 12 Floors),Resale,Ready to Move,0,"Mount Kailash First Floor Fully RenovatedEast Of Kailash, New Delhi, East Of Kailash, New Delhi - South, Delhi NCR",Unfurnished,"Mosaic, Marble",,,₹2.50 Cr,3 
641,12500000,3,3,2,1,nan,1000,,,1 (Out of 4 Floors),New Property,Ready to Move,0,"pitampura, Pitampura, New Delhi - West, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite",,,₹1.25 Cr,3 
642,7500000,2,2,2,nan,nan,900,,,1 (Out of 4 Floors),Resale,Ready to Move,0,"Subhash Nagar, New Delhi, Subhash Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Vitrified",24 Hours Available,No/Rare Powercut,₹75.0 Lac,2 
643,16800000,3,3,2,3,1,1500,Cooperative Group Housing Society,Ashirwad Apartments,5 (Out of 6 Floors),Resale,Ready to Move,2,"Dwarka Sector 12, New Delhi, Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Vitrified",24 Hours Available,No/Rare Powercut,₹1.68 Cr,3 
644,20000000,3,3,3,2,nan,1600,Delhi Development Authority DDA,DDA Flats Sector C Pocket 8,2 (Out of 4 Floors),Resale,Ready to Move,0,"Vasant Kunj, New Delhi, Sector C Vasant Kunj, New Delhi - South, Delhi NCR",Unfurnished,Mosaic,24 Hours Available,No/Rare Powercut,₹2.0 Cr,3 
